municipality,population
Burtch,0
Burton,0
Burton,0
Burton,0
Burton,0
Burtons,0
Burtts Corner,0
Burwash,0
Burwash Landing,0
Bury,0
Burys Green,0
Busby,0
Bush Glen,0
Bush Island,0
Busy Bee Corners,0
Buttermilk Falls,0
Butternut Bay,0
Buttonville,0
Buzwah,0
Byersville,0
Byng Inlet,0
Byrnedale,0
Byron,0
Cabbagetown,0
Cabri,0
Cache Bay,641
Cache Creek,1061
Cachet,0
Caderette,0
Cadillac,0
Cadillac,0
Cadman Corner,0
Cadmus,0
Cadotte Lake,0
Caesarea,823
Cahore,0
Cails Mills,0
Cains Mountain,0
Caintown,0
Cairngorm,0
Cairo,0
Caissie Cape,0
Caissie-Village,0
Caistor Centre,0
Caistorville,0
Caithness,0
Caithness,0
Calabogie,0
Calais,0
Calamity Corners,0
Calder,0
Calderbank,0
Calderwood,0
Caldwell,0
Caledon,76581
Caledon,0
Caledon East,0
Caledonia,0
Caledonia,0
Caledonia,0
Caledonia Front,0
Caledonia Mills,0
Caledonia Mountain,0
Caledonia Springs,0
Caledon Village,0
Calgary,1306784
Calhoun,0
Caliento,0
California,0
California,0
Californie,0
Caliper Lake,0
Callander,3964
Calling Lake,0
Call's Mills,0
Callum,0
Calmar,2228
Calton,0
Calumet,550
Calvin Park,0
Camborne,0
Cambray,0
Cambria,0
Cambrian Heights,0
Cambridge,0
Cambridge,0
Cambridge,129920
Cambridge Forest Estates,0
Cambridge-Narrows,0
Cambridge Station,0
Camden,0
Camel Chute,0
Camelot Beach,0
Cameron,0
Cameron Beach,0
Cameron Heights,0
Cameron Settlement,0
Camerons Mill,0
Camerons Point,0
Camilla,0
Camlachie,7506
Campania,0
Campbell Creek,707
Campbellcroft,0
Campbellford,3372
Campbell Island,0
Campbell River,33430
Campbell's Bay,0
Campbells Beach,0
Campbells Corners,0
Campbells Cross,0
Campbell Settlement,0
Campbellton,0
Campbellton,0
Campbellton,0
Campbellton Road,0
Campbelltown,0
Campbellville,0
Camp Bigwee,0
Camp Cayuga,0
Camp Champlain,0
Camp Chimo,0
Camperdown,0
Camperdown,0
Camperville,820
Camp Kagawong,0
Camp Oconto,0
Camp-Ouareau,0
Camp Wanapitei,0
Camrose,18742
Cana,0
Canaan,0
Canaan,0
Canaan,0
Canaan,0
Canaan,0
Canaan Forks,0
Canaan Rapids,0
Canaan Road,0
Canada Creek,0
Canadian Heights,0
Canal,0
Canal,0
Canal Flats,802
Canard,0
Canborough,0
Candiac,15947
Candle Lake,0
Cando,66
Candyville,0
Canfield,0
Canim Lake,0
Cankerville,0
Canmore,13992
Cann,0
Cannamore,0
Cannes,0
Cannifton,0
Canning,0
Canning,0
Cannington,0
Canoe,0
Canoe Lake,0
Canonto,0
Canoose,0
Canopus,0
Canora,2055
Canso,0
Cantal,0
Canterbury,0
Canterbury,0
Cantley,10412
Canton,0
Canton-Arnaud,0
Canton-Pelletier,0
Cantuar,0
Canuck,0
Canwood,0
Canyon,0
Canyon Alpine,0
Canyon Crescent,0
Cap-au-Renard,0
Cap-aux-Meules,12190
Cap-Chat,1466
Cap-de-Cocagne,0
Cap-de-Saint-Louis,0
Cap-des-Caissie,0
Cape Auguet,0
Cape Breton,0
Cape Broyle,0
Cape Chin,0
Cape Croker,0
Cape Dauphin,0
Cape Enrage,0
Cape Forchu,0
Cape George,0
Cape George Point,0
Cape Jack,0
Cape John,0
Capelton,0
Cape Negro,0
Cape North,0
Cape Onion,0
Cape Spear,0
Cape Spencer,0
Cape Station,0
Cape St. George-Petit Jardin-Grand Jardin-De Grau-Marches Point-Loretto,0
Cape St. Marys,0
Capilano Highlands,0
Cap Le Moine,0
Caplin Cove,0
Cap-Pele,0
Capreol,3260
Cap-Saint-Jacques,0
Cap-Saint-Martin,0
Cap-Seize,0
Capstick,0
Capucins,0
Caradoc,0
Caramat,0
Carberry,1738
Carbon,492
Carbondale,0
Carbonear,4838
Carcajou,0
Carcross,446
Carden,0
Cardiff,0
Cardigan,0
Cardigan,0
Cardinal,0
Cardinal Heights,0
Cardross,0
Cardston,3585
Cardwell,0
Cargill,0
Caribou,0
Caribou Heights,0
Caribou Island,0
Caribou Mines,0
Caribou River,0
Carievale,0
Carignan,7426
Carignan,0
Carlea,0
Carleton,0
Carleton Heights,0
Carleton Place,11901
Carleton Square,0
Carleton Village,0
Carley,0
Carleys Corner,0
Carlin,0
Carling,0
Carlingford,0
Carlington,0
Carlingwood,0
Carlisle,0
Carlow,0
Carlsbad Springs,0
Carlton,0
Carlton Park,0
Carluke,0
Carlyle,1508
Carlyle Lake Resort,0
Carlyon,0
Carmacks,588
Carman,0
Carman,3027
Carmangay,0
Carmanville,0
Carmel,0
Carmel,0
Carmel,0
Carmel,0
Carmichael,0
Carmunnock,0
Carnarvon,0
Carnduff,950
Carnegie Beach,0
Caroline,0
Caroline Village,0
Carol Richard Park,0
Caron,0
Caronport,972
Carp,1477
Carpenter,0
Carpin Beach,0
Carr,0
Carragana,0
Carrick,0
Carroll,0
Carroll Ridge,0
Carrolls Corner,0
Carrot River,950
Carrs,0
Carrs Brook,0
Carruthers,0
Carrying Place,0
Carseland,542
Carsonby,0
Carson Grove,0
Carsonville,0
Carstairs,4077
Carters Corners,0
Carters Cove,0
Carters Point,0
Carterton,0
Carthage,0
Carthew Bay,0
Cartier,241
Cartierville,0
Cartwright,0
Cartyville,0
Carvel,0
Cascades,0
Case Settlement,0
Casey,0
Cashel,0
Cashions Glen,0
Cashtown Corners,0
Casimir,0
Casino,0
Caslan,0
Cass Bridge,0
Cassburn,0
Cassel,0
Casselman,3074
Cassidy,995
Cassilis,0
Cassin,0
Castagnier,0
Castalia,0
Castaway,0
Castile,0
Castlebar,0
Castle Bay,0
Castledale,0
Castlederg,0
Castlegar,8338
Castle Gardens,0
Castle Glen Estates,0
Castle Green,0
Castle Heights,0
Castle Island,0
Castlemore,0
Castle Rock,0
Castor,0
Casummit Lake,0
Caswell Hill,0
Catalina,845
Catalone,0
Catalone Gut,0
Catalone Road,0
Catamount,0
Catchacoma,0
Cathcart,0
Cavalier,0
Cavan,0
Cavell,0
Cavendish,0
Caverlys Landing,0
Cavers,0
Cawood,0
Cayamant,0
Caycuse,0
Cayuga,0
Cazaville,0
Cecebe,0
Cecil Lake,0
Cedar,2836
Cedar Bay,0
Cedar Beach,0
Cedarbrae,0
Cedarbrook,0
Cedar Camp,0
Cedar Creek,0
Cedar Croft,0
Cedardale,0
Cedardale,0
Cedardale,0
Cedar Dale,0
Cedar Glen,0
Cedar Grove,0
Cedar Grove,0
Cedar Harbour,0
Cedar Heights,0
Cedar Hill,0
Cedarhurst Beach,0
Cedar Lake,0
Cedar Lake,0
Cedar Mills,0
Cedarmont Beach,0
Cedar Nook,0
Cedar Point,0
Cedar Shores,0
Cedarside,0
Cedar Springs,0
Cedarvale,0
Cedarvale,0
Cedar Valley,0
Cedar Valley,0
Cedar Valley,0
Cedar Village,0
Cedarville,0
Cedarville,0
Cedarville,0
Cedoux,0
Centennial,0
Centennial Place,0
Central,0
Central Argyle,0
Central Bedeque,0
Central Blissville,0
Central Business District,12101
Central Butte,0
Central Cambridge,0
Central Caribou,0
Central Chebogue,0
Central Clarence,0
Central Greenwich,0
Central Grove,0
Central Kings,0
Central Kingsclear,0
Central New Annan,0
Central North River,0
Central Norton,0
Central Onslow,0
Central Park,0
Central Patricia,0
Central Port Mouton,0
Central Saanich,17385
Central Tower Hill,0
Central West River,0
Central Woods Harbour,0
Centre,0
Centre-Acadie,0
Centre Burlington,0
Centredale,0
Centre Dummer,0
Centre East Pubnico,0
Centrefield,0
Centre Inn,0
Centre-Kelly,0
Centre Lake Junction,0
Centrelea,0
Centre Musquodoboit,0
Centrepointe,0
Centre Rawdon,0
Centreton,0
Centreton,0
Centreview,0
Centre Village,0
Centreville,0
Centreville,0
Centreville,0
Centreville,0
Centreville,0
Centreville,0
Centreville,0
Centreville Reserve Mines,0
Centreville-Wareham-Trinity,0
Centurion,0
Cereal,111
Cessford,0
Ceylon,0
Ceylon,0
Chaffeys Locks,0
Chalifoux,0
Chalk River,1025
Chamberlain,0
Chamberlain,0
Chambers Corners,0
Chambers Settlement,0
Chambly,22608
Chambord,1773
Chambres Corner,0
Chamcook,0
Chamcook Lake,0
Chameran,0
Champcoeur,0
Champ-Fleuri,0
Champion,0
Champlain,0
Champlain,0
Champlain Heights,0
Champlain Park,0
Champneuf,0
Chance Cove,0
Chance Harbour,0
Chance Harbour,0
Chandos Lake,0
Change Islands,0
Channel-Port aux Basques,4220
Channing,0
Chantelle,0
Chantler,0
Chantry,0
Chapais,1824
Chapeau,0
Chapel Arm,0
Chapel Grove,0
Chapel's Corner,0
Chapleau,1942
Chaplin,0
Chaplin,0
Chapman,0
Chapman Camp,0
Chapman Corner,0
Chapmans Corner,0
Chapman Settlement,0
Chapman's Landing,0
Chaput Hughes,0
Chard,0
Charella Garden,0
Charette,0
Charlemagne,5594
Charlemont,0
Charleston,0
Charlesville,0
Charleville,0
Charlie Lake,0
Charlos Cove,0
Charlottetown,0
Charlottetown,0
Charlton,0
Charnwood,0
Charteris,0
Charters Settlement,0
Chartersville,0
Chartierville,0
Chartrand Corner,0
Chase,2471
Chase Corners,0
Chaswood,0
Chatboro,0
Châteauguay,42786
Châteauguay-Centre,0
Chateh,0
Chatfield,0
Chatham Head,0
Chatham,43550
Chats Haven,0
Chatsworth,0
Chatterton,0
Chauvin,0
Chazel,0
Cheakamus,0
Cheapside,0
Chebogue Point,0
Cheddar,0
Chedoke Park,0
Cheeseborough,0
Chelmsford,0
Chelmsford,500
Chelsea,0
Chelsea,8000
Chelsea Green,0
Cheltenham,0
Chemainus,3021
Chemical Road,0
Chemin-des-Pins,0
Cheminis,0
Chemong Heights,0
Chemong Park,0
Chenail-du-Moine,0
Chenaux,0
Chénéville,0
Cheney,0
Cherhill,0
Cherry Brook,0
Cherry Burton,0
Cherry Creek,0
Cherry Creek,0
Cherryfield,0
Cherryfield,0
Cherryfield Road,0
Cherry Grove,0
Cherry Grove,0
Cherry Heights,0
Cherry Hill,0
Cherry Hill,0
Cherry Lane Estates,0
Cherry River,0
Cherryvale,0
Cherryville,717
Cherrywood,0
Cherrywood Acres,0
Chertsey,4836
Chester,2348
Chester,0
Chester,0
Chester Acres,0
Chester Basin,0
Chesterfield,0
Chester Grant,0
Chestermere,3590
Chesterville,0
Chesterville,0
Chéticamp,0
Chetwynd,0
Chetwynd,2587
Cheverie,0
Chezacut,0
Chibougamau,7563
Chicot,0
Chignecto,0
Chikopi,0
Chilanko Forks,0
Chilcotin Forest,0
Childs Mines,0
Chinook,0
Chipman,1201
Chipman,0
Chipman Brook,0
Chipmans Corner,0
Chippawa,0
Chippewa,0
Chisasibi,0
Chisasibi,0
Chiselhurst,0
Chisholm,0
Chisholm Mills,0
Chiswick,0
Chitek,0
Chitek Lake,0
Chockpish,0
Chocolate Cove,0
Choiceland,0
Choisy,0
Chorney Beach,0
Christian Island,0
Christian Valley,0
Christie Lake,0
Christie Ridge,0
Christies Corner,0
Christina,0
Christina Lake,1329
Christmas Island,0
Christopher Lake,0
Christ-Roi,0
Churchbridge,0
Church Hill,0
Churchill,0
Churchill,0
Churchill,899
Churchill,0
Churchill Downs,0
Churchill Heights,0
Churchill Heights,0
Churchill Park,0
Churchland Road,0
Churchover,0
Church Point,0
Church Point Station,0
Church Street,0
Churchview,0
Churchville,0
Churchville,0
Churchville,0
Chute-aux-Galets,0
Chute-aux-Outardes,2000
Passes-Dangereuses,0
Chute-Rouge,0
Chute-Saint-Philippe,0
Chutes-de-Sainte-Ursule,0
Chute-Victoria,0
Cinnabar Valley,0
Cinnamon Hills,0
City Centre,0
City Park North,0
City Park South,0
City View,0
City View,0
Clachan,0
Clair,0
Clairlea,0
Clairmont,2799
Clairmont,0
Clairvaux-de-Bagot,0
Clairville,0
Clam Bay,0
Clam Harbour,0
Clam Point,0
Clanbrassil,0
Clandeboye,0
Clandeboye,0
Clappison's Corners,0
Claraday,0
Clardon Beach,0
Clare,0
Claremont,0
Clarence,0
Clarence,0
Clarence East,0
Clarence Ridge,0
Clarence-Rockland,20790
Clarence West,0
Clarendon,0
Clarendon Station,0
Clarenville,6704
Clarenville-Shoal Harbour,3478
Claresholm,3780
Clarina,0
Clarkdon,0
Clarke,0
Clarke City,0
Clarke's Beach,0
Clarkes Hollow,0
Clarksburg,0
Clarks Church,0
Clarks Corners,0
Clarks Corners,0
Clarksdale,0
Clark's Harbour,0
Clarksville,0
Claude,0
Claverhouse,0
Clavet,0
Clay Bank,0
Clayburn,11755
Clayhurst,0
Clayton Park,0
Clay Valley,0
Clear Creek,0
Cleardale,0
Clear Lake,0
Clear Lake,0
Clearland,0
Clearview,0
Clearview Estates,0
Clearview Heights,0
Clearville,0
Clearwater,2388
Clearwater Bay,0
Clearwater Beach,0
Clearwater River,0
Clementsport,0
Clementsvale,0
Cléricy,0
Clerval,0
Cleveland,0
Cleveland Park,0
Clifford,0
Cliffside,0
Cliffside,0
Clifton,0
Clifton,0
Clifton Royal,0
Climax,137
Clinton,0
Clive,0
Cloan,0
Clontarf,0
Cloridorme-Ouest,0
Cloud Bay,0
Cloudslee,0
Clouston,0
Clova,0
Clover Bar,0
Cloverdale,0
Clover Hill,0
Clover Valley,0
Cloverville,0
Cloyne,0
Club-Dom-Est,0
Club-du-Faisan,0
Clute,0
Clyde,0
Clyde,0
Clyde River,0
Clyde River,0
Clydesville,0
Coachman's Cove,0
Coady Road,0
Coal Branch,0
Coalburn,0
Coal Creek,0
Coaldale,8215
Coalfields,0
Coalhurst,2668
Coalmont,85
Coalpit Bay,0
Coates Mills,0
Coaticook,7021
Cobalt,0
Cobble Hill,0
Cobble Hill,0
Cobden,1071
Coboconk,0
Cobourg,18099
Coburg,0
Coburn,0
Cocagne,0
Cocagne Cove,0
Cocagne-Nord,0
Cocagne-Sud,0
Cochin,0
Cochrane,5390
Cochrane,0
Cochrane,25853
Coddles Harbour,0
Coderre,0
Codes Corner,0
Codette,0
Codiac Heights,0
Codroy,0
Codys,0
Coe Hill,0
Coffinscroft,0
Cognashene,0
Coin-chez-Leblanc,0
Coin-de-la-Petite-Mine,0
Coin-Douglas,0
Coin-du-Quatre,0
Coin-Lavigne,0
Coin-Rond,0
Coin-Saint-Philippe,0
Coins Gratton,0
Colbeck,0
Colborne,0
Colchester,0
Coldbrook,0
Cold Lake,11595
Coldsprings,0
Cold Springs,0
Coldstream,0
Coldstream,11171
Coldwater,0
Coldwell,0
Cole Bay,0
Colebrook,0
Colebrook,0
Cole Harbour,0
Coleman,1441
Colemans,0
Coleman's Shore,0
Coleraine,0
Coleraine,0
Coleraine,0
Coles Island,0
Coles Island,0
Coleville,0
Colfax,0
Colgan,0
Colgate,0
Colindale,0
Colinet,0
Colinville,0
College Bridge,0
College Grant,0
College Heights,0
College Heights,0
College Park,0
College Park East,0
Collette-Village,0
Colliers,0
Collina,0
Collingwood,21793
Collingwood Corner,0
Collins,0
Collins Bay,0
Collins Inlet,0
Collison Heights,0
Colombourg-Station,0
Colonie-Cinq,0
Colonsay,0
Colpitts,0
Colpitts Settlement,0
Colpoy's Bay,0
Colpton,0
Colquhoun,0
Colquitz,0
Columbia Gardens,0
Colville Lake,0
Colwell,0
Colwood,16859
Combermere,0
Comeau Point,0
Comeaus Hill,0
Comeauville,0
Comeauville,0
Come By Chance,208
Comestock Corners,0
Comfort Cove-Newstead,0
Comins Mills,0
Commanda,0
Commodore Park,0
Commons,0
Communauté métropolitaine de Montréal,0
Community Beach,0
Como,0
Como-Est,0
Comox,14806
Compeer,0
Compton,0
Conception Bay South,17087
Conception Harbour,0
Concession,0
Conche,0
Concord,0
Concord,8255
Concord Point,0
Condor,0
Conestogo,0
Confederation Heights,0
Confederation Park,0
Coningsby,0
Coniston,0
Conklin,0
Connaught,0
Connaught,0
Connaught,0
Connaught,0
Connaught Hill,0
Connaught Shore,0
Connellys,0
Connor,0
Conns Mills,0
Conover,0
Conquerall Bank,0
Conquerall Mills,0
Conquest,167
Conrod Settlement,0
Conroy,0
Consort,0
Constance,0
Constance Bay,2314
Constant Creek,0
Consul,0
Contrecoeur,3587
Convent Glen,0
Convoy Place,0
Conway,0
Conway,0
Cooke's Shore,0
Cooking Lake,0
Cooks Brook,0
Cooks Brook,0
Cooks Cove,0
Cook's Harbour,0
Cookshire,1021
Cookshire-Eaton,5344
Cooks Mills,0
Cooks Mills,0
Cookstown,1214
Cooksville,0
Cookville,0
Cookville,0
Coombe,0
Coombs,1612
Cooper,0
Cooper Creek,0
Coopers Falls,0
Cootes Paradise,0
Copeland Park,0
Copenhagen,0
Copetown,0
Copp,0
Coppell,0
Copper Cliff,0
Copperhead,0
Copper Lake,0
Copper Mountain,0
Coppin's Corners,0
Coral,0
Corbeil,0
Corberrie,0
Corbett,0
Corbetton,0
Corbyville,0
Cordova Mines,0
Corinne,0
Corinth,0
Cork,0
Corkery,0
Corktown,0
Corkums Island,0
Cormack,0
Cormier Cove,0
Cormier-Village,0
Cormierville,0
Cormorant,0
Cornell,0
Corner Brook,18693
Cornhill,0
Cornhill East,0
Cornwall,5348
Cornwall,48821
Cornwall Centre,0
Cornwall Island,0
Cornwallis Square,0
Coronach,0
Coronation,0
Coronation Park,0
Coronation Park,0
Corsons,0
Cortes Bay,0
Cortes Island,0
Corunna,5686
Corwhin,0
Corwin Crescent,0
Cosine,0
Cosman Settlement,0
Cosmos,0
Cosy Cove,0
Coteau Beach,0
Coteau-du-Lac,7044
Côte-Nord-du-Golfe-du-Saint-Laurent,787
Côte-Saint-Luc,31395
Cotieville,0
Cotnam Island,0
Cotswold,0
Cottam,0
Cottesloe,0
Cottlesville,0
Coughlan,0
Coughlin,0
Coulson,0
Coulson's Hill,0
Coulter,0
Country Harbour Mines,0
Country Hills,0
Country Hills,0
Country Place,0
Courcelles,800
Courtenay,25599
Courtice,0
Courtland,0
Courtland Park,0
Courtright,0
Coutts,305
Couttsville,0
Cove Beach,0
Cove Beach,0
Coventry,0
Coventry Place,0
Coverdale,0
Covered Bridge,0
Cove Road,0
Covey Hill,0
Cowan's Bay,0
Cowansville,10887
Cow Bay,1257
Cow Head,0
Cowichan Station,0
Cowie Hill,0
Cowley,0
Coxheath,0
Cox Point,0
Cox's Cove,0
Coxvale,0
Coyle,0
Coyle,0
Coytown,0
CPR,0
Crabtree,2248
Crafts Cove,0
Craigellachie,0
Craigend,0
Craig Henry,0
Craigleith,0
Craigmawr Beach,0
Craigmont,0
Craigmore,0
Craigmyle,0
Craigsholme,0
Craig Shore,0
Craigville,0
Craik,0
Crampton,0
Cranberry,0
Cranberry Junction,0
Cranberry Portage,771
Cranbrook,0
Cranbrook,20047
Crandall Road,0
Cranston,0
Crapaud,0
Crathie,0
Craven,0
Crawford,0
Crawford Bay,0
Crawford's Grove,0
Crean Hill,0
Creditville,0
Cree,0
Creek Bank,0
Creek Road,0
Creelman,0
Creemore,0
Creighton,0
Creighton,1203
Creighton Valley,0
Creignish,0
Cremona,0
Crescent,0
Crescent Bay,0
Crescent Beach,0
Crescent Beach,0
Crescent Beach,0
Crescent Grove,0
Crescent Heights,0
Crescent Town,0
Crescent Valley,0
Crescent View,0
Cresswell,0
Cressy,0
Cresthill,0
Creston,5583
Crestview,0
Crestview,0
Crestwood,0
Crestwynd,0
Crewe,0
Crewsons Corners,0
Crichton Park,0
Crieff,0
Crilly,0
Crinan,0
Crique-La Corne,0
Crocker Hill,0
Crockets Corner,0
Crofton,0
Crofton,1446
Croissant-du-Bourg,0
Cromar,0
Cromarty,0
Cromer,0
Crooked Bay,0
Crooked Creek,0
Crooked Creek,0
Crooks,0
Crookston,0
Crosby,0
Crossfield,2512
Crosshill,0
Cross Lake,0
Cross Lake,0
Crossland,0
Crossley Hunter,0
Cross Roads Country Harbour,0
Cross Roads Ohio,0
Croton,0
Crouses Settlement,0
Crousetown,0
Crowe Bridge,0
Crowell,0
Crowes Landing,0
Crowes Mills,0
Crow Harbour,0
Crow Head,0
Crow Lake,0
Crowland,0
Crown Hill,0
Crows Nest,0
Crowsnest Pass,0
Croydon,0
Crozier,0
Cruickshank,0
Crumlin,0
Cryderman Subdivision,0
Crystal,0
Crystal Bay,0
Crystal Beach,0
Crystal Beach,0
Crystal City,0
Crystal Falls,0
Crystal Falls,0
Crystal Springs,0
Crystal Springs,0
Cudworth,0
Cullen,0
Culloden,0
Cultus,0
Cultus Lake,1164
Cumberland,3753
Cumberland Bay,0
Cumberland Beach,0
Cumberland House,0
Cummings Cove,0
Cumnock,0
Cunningham's Corners,0
Cupar,0
Cupids,0
Currie Heights,0
Curries,0
Curry Hill,0
Currys Corner,0
Curryville,0
Curve Lake,0
Cushendall,0
Cushing,0
Cutbank,0
Cut Knife,0
Cynthia,0
Cypress Park,0
Cypress River,0
Cyrville,0
Czar,0
Dablon,0
Dacre,0
Dafoe,0
Dahinda,0
Dain City,0
Dale,0
Dalesville,0
Dalhousie Lake,0
Dalhousie Mills,0
Dalhousie Road,0
Dallas,0
Dalmeny,0
Dalmeny,1504
Dalrymple,0
Dalston,0
Dalton,0
Dalton Mills,0
Damascus,0
Damascus,0
Dana,0
Danbury,0
Danby,0
Dancaster Courts,0
Dance,0
Dane,0
Danesville,0
Danford Lake,0
Daniel's Harbour,0
Danvers,0
Danville,1761
Darby,0
D'Arcy,0
D'Arcy,35
Darfield,0
Darling Road,0
Darlingside,0
Darlings Lake,0
Darlington,0
Darmody,0
Darrell,0
Dartford,0
Dartmoor,0
Dartmouth,101343
Darwell,0
Dashwood,982
Dasserat,0
Dauphin,8457
Davangus,0
Daveluyville,1318
Davidson,0
Davidson,967
Davidson Corner,0
Davidson Hill,0
Davidson Lake,0
Davidsons Beach,0
Davis,0
Davis Bay,0
Davis Lock,0
Davis Mills,0
Davison Street,0
Davisville,0
Dawn Mills,0
Dawn Valley,0
Dawson,0
Dawson Creek,12323
Dawson Settlement,0
Day Hill,0
Daylesford,0
Day Mills,0
Daysland,0
Dayspring,0
Dayton,0
Daytonia Beach,0
Daytown,0
Deacon,0
Dead Creek,0
Deadmans Harbour,0
Dealtown,0
Dean,0
Dean Lake,0
Deanlea Beach,0
Deans Corner,0
Dearlock,0
Dease Lake,400
DeBaies Cove,0
Debden,327
De Beaujeu,0
Debert,1422
DeBolt,0
DeCew Falls,0
Decewsville,0
Decker Lake,0
Deckers Hill,0
Dee Bank,0
Deep Bay,0
Deep Bay,0
Deep Brook,0
Deep Cove,0
Deep Cove,0
Deepdale,0
Deep River,4296
Deer Bay,0
Deerbrook,0
Deerfield,0
Deerhurst,0
Deer Lake,4602
Deer Lake,0
Deer Lake,0
Deer Park,0
Deer Ridge,0
Deer Valley,0
Defoy,0
De Grasse,0
Dejong,0
Delamere,0
Delaps Cove,0
Delaware West,0
Delburne,0
Déléage,0
De Lesseps,0
Delhaven,0
Delhi,5344
Delia,0
Delisle,0
Delkatla,0
Delmer,0
Delnite,0
Deloraine,1068
Deloro,0
Del Ray,0
Delson,7322
Delta,0
Delta,101668
Del-Val,0
Demers,0
Demers-Centre,0
Demoiselle Creek,0
Dempseys Corner,0
Denare Beach,0
Denbigh,0
Dendron,0
Denfield,0
Denholm,0
Denison Mills,0
Denman Island,1020
Denmark,0
Densmores Mills,0
Dentville,0
Denver,0
Denzil,0
Departure Lake,0
Depot Harbour,0
Derby,0
Derby Junction,0
Dereham Centre,0
Dermid,0
Deroche,0
Derrynane,0
Derry West,0
Derwent,0
Derwent,0
Desbarats,0
Deschaillons-sur-Saint-Laurent,0
Deschambault Lake,0
Deschênes,0
D'Escousse,0
Deseronto,1897
Desert Lake,0
Desherbiers,0
Desjardinsville,0
Desmaraisville,0
Desmond,0
Despinassy,0
Dettah,0
Deux-Montagnes,17402
Devault,0
Devine Corner,0
Devizes,0
Devon,0
Devon,5225
Devonshire,0
Dewar Lake,0
Dewars,0
Dewberry,0
Dewdney,570
De Winton,0
DeWitts Corners,0
Dewittville,0
DeWolfe,0
Dexter,0
Diamond,0
Dickie Mountain,0
Didsbury,4134
Didyme,0
Dieppe,27304
Dieppe Place,0
Digby,2052
Digby Island,0
Digdeguash,0
Dildo,800
Diligent River,0
Dilke,0
Dillabough,0
Dillon,0
Dillon,0
Dingwall,0
Dinorwic,0
Dinsmore,0
Dipper Harbour East,0
Dipper Harbour West,0
Dirleton,0
Disley,0
Disraeli,2212
Divide,0
Dixie,0
Dixon,0
Dixon,0
Dixonville,0
Dixville,0
Doak Settlement,0
Dobie,0
Dobsons Corner,0
Doctors Brook,0
Doctors Cove,0
Doddridge,0
Dodsland,0
Doe Lake,0
Dog Creek,0
Dog Creek,0
Dogs Nest,0
Doig River,0
Dokie Siding,0
Dokis,0
Dolbeau,0
Dolbeau-Mistassini,12916
Dollard,5
Dollard-Des Ormeaux,48930
Dolphin Beach,0
Domain,0
Domaine-Air-Pur,0
Domaine-Asselin,0
Domaine-Bastien,0
Domaine-Beauchesne,0
Domaine-Beaudoin,0
Domaine-Beaudry,0
Domaine-Beaumont,0
Domaine-Beauport,0
Domaine-Beausoleil,0
Domaine-Bellevue,0
Domaine-Bellevue,0
Domaine-Boudreau,0
Domaine-Boutin,0
Domaine-Breton,0
Domaine-Brien,0
Domaine-Brisebois,0
Domaine-Brodeur,0
Domaine-Brouillette,0
Domaine-Bruneau,0
Domaine-Brunet,0
Domaine-Carillon,0
Domaine-Carillon,0
Domaine-Caya,0
Domaine-Chantelois,0
Domaine-Chantigny,0
Domaine-Charbonneau,0
Domaine-C.-L.-C.,0
Domaine-Cloutier,0
Domaine-Condor,0
Domaine-de-la-Belle-Plage,0
Domaine-de-la-Halte,0
Domaine-Deland,0
Domaine-de-la-Paix,0
Domaine-de-l'Oasis,0
Domaine-Demers,0
Domaine-Denis,0
Domaine-de-Provence,0
Domaine-des-Beaux-Arbres,0
Domaine-des-Bouleaux,0
Domaine-des-Bouleaux-Blancs,0
Domaine-Deschamps,0
Domaine-des-Copains,0
Domaine-des-Deux-Lacs,0
Domaine-des-Fleurs,0
Domaine-des-Hauts-Bois,0
Domaine-des-Patriarches,0
Domaine-des-Pins,0
Domaine-des-Prairies,0
Domaine-des-Pyramides,0
Domaine-Desrosiers,0
Domaine-des-Sapins,0
Domaine-des-Sapins,0
Domaine-des-Saules,0
Domaine-des-Sources,0
Domaine-Donald-Morrison,0
Domaine-du-Chevreuil,0
Domaine-du-Lac-des-Fourches,0
Domaine-du-Lac-des-Pins,0
Domaine-du-Lac-des-Pins,0
Domaine-du-Lac-du-Moulin,0
Domaine-du-Lac-Ginette,0
Domaine-du-Lac-Kildare,0
Domaine-du-Lac-Quinn,0
Domaine-du-Lac-Raymond,0
Domaine-du-Repos,0
Domaine-Entrelacs,0
Domaine-Filion,0
Domaine-Forestier,0
Domaine-Fortier,0
Domaine-Francoeur,0
Domaine-Frontiersman,0
Domaine-Gagnon,0
Domaine-Gagnon,0
Domaine-Gagnon,0
Domaine-Gamache,0
Domaine-Gareau,0
Domaine-Glenwood,0
Domaine-Granger,0
Domaine-Grenon,0
Domaine-Guaybois,0
Domaine-Guindon,0
Domaine-Hamel,0
Domaine-Hatin,0
Domaine-Hivernon,0
Domaine-Jacques,0
Domaine-Joyeux,0
Domaine-Juneau,0
Domaine-Lacoste,0
Domaine-Lafortune,0
Domaine-Laurentien,0
Domaine-Lauzon,0
Domaine-Lecours,0
Domaine-Lemenn,0
Domaine-Lemieux,0
Domaine-Lemire,0
Domaine-Lemoine,0
Domaine-Lord,0
Domaine-Lorraine,0
Domaine-Marchand,0
Domaine-Marier,0
Domaine-Mar-Lodge,0
Domaine-Martel,0
Domaine-Mauricien,0
Domaine-Mirko,0
Domaine-Mont-Blanc,0
Domaine-Mont-Louis,0
Domaine-Morin,0
Domaine-Morin,0
Domaine-Namur,0
